1-stan-1290	18	. 		Il 		faut 		que 	je 	me 			lève 																			et 	que 	j’			aille 		trouver 		mon  	père	, 		et 	"que
            "	je 	lui 	dise 			: 	mon 	père	, 	j’	ai 	pêché 	contre 	le  		ciel 	et 	contre 	vous 			;
2-auve-1239	18	. — 								Me 			levaréï																		, 				m’	en	anaréï 			ver 	moun 	paire	, 		é 		dy  		diréï			: 	Moun 	paire	,		éï 	petza 	contre 	lou 		ciahr 	é 	devon  	vous			.
3-wall-1255	18	. 																													’			J’			yret 		trové 		m’	père 			et 		ji 	ly 	diret			: 				J’	a 	petchy 	conte 	"li
            "		cyr 	et 	conte 	vos			.
4-wall-1255	18	. 																						Ju 	so 	nâhi 	d’	çoula			, 			j’			irès 			amon 	m’	pere 			et 		j’	lî 	dirès 			":
            "		Pere	, 	j’	a 	pegchî 	conte 	lu 		ci 	et 	conte 	vos			.
5-wall-1255	18	. 							Dji 				quittrois 				c’	paï	-	ci											, 	et 		dj’			irois 			emon 	m’	pére 			et 		"dji
            "	li 	dirois 			: 		Père	, 	dj’	a 	offaincé 		l’	bon 	diet 	et 	d’zos	vos 	ouïes		.
6-wall-1255	18	. 		I 		faut 		que 	je 																				r’prenne 	corrage 		et 	que 	je 			revièche 			"delez
            "	m’	pée 			et 	que 	j’	ii 	dise 			: 		Pée	, 	j’	ai 	maufait 	à l’enconte 	du 		ciel 	et 	conte 	ti			.
7-camb-1242	18	. 		I 		faut 		k’	j’	m’			liève																		, 		k’	j’			voiche 		treuver 		min 	père 			et 	"ke
            "	j’	ii 	diche 			: 	Mm 	père 		j’	ai 	péché 	conte 	el 		ciel 	et 	conteur 	vous			.
8-arto-1238	18	. 							J’	m’			elieve																		. 			J’			iraye 		truvoir 		main 	père 	; 				j’	ii 	diraye 			":
            "	Main 	père	, 	j’	aye 	feauté 	vis-à-vis 	del 	bon 	diu 	ed’		vous 	ytout		.
9-arto-1238	18	. 		I 		faut 		q’	jme 				lieuve																		, 		que 	j’	m 	en	voche 			vir 	men 	père 			"et
            "	que 	j’	Ii 	diche			: 	Men 	père 		j’	ai 	manquié 	conte 			Dieu 	et 		vous			.
10-arto-1238	18	. 		I 		fant 		que 	je 	m’			iléve 																			et 	qu’	j’			ale 		trouvouoër 		min 	"père
            "			et 	qué 	j’	li 	diche 			: 	Min 	père	, 	j’	ai 	diabement mal fait 	conte 	l’			et 	"conte
            "	vous			.
11-wall-1255	18	. 		Y 		fau		que	j’	me 			leve 																			et 	que 	j’			vache 		trouvé 		m’	per 			e 	"que
            "	j’	iy 	diche 			: 	Mu 	per 		j’	a 	mau fa 	vis à vis 	dou 		siêl 	e 	d’	vo			.
12-lorr-1242	18	. 		Y 		faut 		que 	je 	me 			leuveusse																		, 	et 	qué 	j’			oleusse 		treuvaye		me 	pairre	, 		et 	qué 	jé 	li 	deheusse 			: 		Papa	, 	j’	a 	maux fa	conte 	le 		ciel 	et 	conte 	"vous
            "			:
13-lorr-1242	18	. 		I 	me 	fa 							lever																		, 						aller 		trover 		mo 	pere 			et 			li 	dieure 			: 	"Mo
            "	pere 		j’	a 	peuchi 	contre 	lo 		ciel 	et 	contre 	vo			.
14-lorr-1242	18	. 		I 		fa 		q’	j	me 			loveusse																		, 		q’	j	m’		analeusse 		trovet 		mo 	père	, 			"que
            "	jli 		djeusse 			: 	Mo 	père	, 	j	è 	pachi 	conte 	lo 		cie 	et 	conte 	vos 			;
15-lorr-1242	18	. 							Je 	me 			livra																		, 			jé 			vira 			devat 	mo 	père 			et 		jé 	li 	dira 			: 	"Mo
            "	père	, 	j	a 	peichie 	conte 	lo 		cie 	et 	ecate 	vo			.
16-alem-1243	18	. 							Y 	me 			yeuvrai 																					y 			adrai 			voi 	mon 	père 			et 		yié 		dirais 			: 	"Mon
            "	père	, 	y 	ai 	péché 	contre 	lo 		cie 	et 	contre 	vos			.
17-fran-1270	18	. 							I 	me 			leveray 																					y 	m’	on 	iray 		trova 		mon 	paire 			et 		y 	ly 	dira 			":
            "	Mon 	paire 		y 	a 	péché 	contre 	lo 		scié 	et 	contre 	vo			.
18-fran-1270	18	. 							Y 	me 			lèvera																		, 			y 			vira 			à 	mon 	père	, 				y 	li 	dira 			: 		Père	, 	y 	"a
            "	pechè 	contre 	lo 		ciè 	et 	à 	veus 	uils		.
19-fran-1270	18	. 																																Je 			revira 			chie 	mô 	père 			et 		je 	ly 	dira 			: 				j’	a 	péché 	contre 	lo 		cil 	et 	contre 	vô			.
20-fran-1270	18	. 		Ei 		fau 		qu’	i 	m’			leuve																		, 		qu’	i 			olle 		treuvà 		mon 	pare 			et 	qu’	i	li 	dije 			: 		Pare	, 	i 	â 	peichié 	contr’	lou 		cie 	è 	vé 	vô			.
21-fran-1270	18	. 		Ai 		faut 		qu’	i 	me 			leve																		, 	et 	que 	j’			aye 		trouvé 		mon 	pere 			"et
            "	qui 	l’	i	dise 			: 	Mon 	pere	, 	j’	ai 	pêché 	conte 	le 		ciel 	et 	conte 	vous			.
22-fran-1270	18	. 				Faut 		qu’	y 	me 			lève 																			et 	qu’	y 			olle 		trouva 		mon 	père 			et 	qu’	"y
            "	li 	dise 			: 		Pere	, 	y 	a 	peiché 	contre 	lou 		cie 	et 	contre 	vous			.
23-bour-1247	18	. 		Y 									vas dont partir 																			poôre 					ailer 		retrouer 		mon 	père 			et 	y 		"ly
            "	vas dire 			: 	Mon 	père	, 	y 	ait 	pécé 	conte 	le 		ciel 	et 	conte 	vous			.
24-poit-1241	18	. 		Ou 		faut 		qu’	i 	m’	an 		ange																		, 						yrais 		trouva 		mon 	paire 			et 		y 	"li
            "	diraîs 			: 	mon 	paire	, 	y 	ais 	p’cha	envre 	le 		ciel 	et 	envre 	vous			.
25-limo-1246	18	. 		Y 		vole 							surtir 			de 				ki 												et 	qu’				enge 		trouva 		moun 	pere	",
            "	etc																								.
26-poit-1241	18	. 				Faut 		qu’	i 				parte 																			et 	qu’	i 	m’	en 	aille 		trouver 		mon 	père 			"et
            "		i 	li 	dirai			: 	Mon 	père	, 	i 	ai 	péché 	contre 	le 	bon 	dieu 	et 	contre 	vous 			;
28-poit-1241	18	. 		Ou 		faû 		que 	j’	me 			lève																		, 		que 	j’			aie 		trouver 		mon 	pere	, 	etc																								".
            -"
29-poit-1241	18	. 		O 		faut 		qu’	i 	me 			leuve																		, 		que 	j’			enge 		trouver 		mon 	père 			"et
            "	qu’	i 	li 	dige			: 	Mon 	père	, 	j’	ai 	péché 	a contre 	le 		ciel 	et 	devant 	vous			.
30-poit-1241	18	. 				Faut 		que 	je 				parte 																			et 	que 	j’			ange 		trouver 		mon 	pere	. 				J’	"Iy
            "	dirrai 			: 	Mon 	pere	, 	j’	ay 	"péché 
            "	contre 	lé 		ciele 	et 	contre 	vous			.
31-limo-1246	18	. 							Je 	me 			leverê																		, 			j’			erê 			ché 	mon 	père 			et 		je 	ly 	diraï 			: 	"Mon
            "	père 		j’	ê 	péché  	contre 	le		ciel 	et 	"contre
            "	vou			.
32-limo-1246	18	. 							You 			volé 	surti 			d’				eici 														you 		n’	irai 		truba		moun 	paï		etc											, 													.
33-limo-1246	18	. 		Oôu 		faôu 		que 								de 	quégu 	pâs 																y 			ainé 		troubais 		moun 	pay 			"et
            "	qué 	yé 	li 	disé 			: 	Moun 	pay	, 	y 	aï 	petcha 	countré 	lou 		céou 	et 	countré 	vous			.
34-lang-1309	18	. 				Cal 		qué 					parti 																		: 	et 	qu’				angui 		trouva 		moun 	païré	, 		et 	qués 	"y
            "		digui 			: 	Moun 	païré	, 		aï 	pécat 	countro 	lou 		cel 	et 	countro 	vous			.
35-limo-1246	18	. 		Quo 		faut 		qu’	i 				bougé																					y 	m’	ein 	irais 		trouba 		moun 	pairé 			"é
            "			li 	dirais 			: 	Moun 	pairé 	, 	y 	ais 	faute 	countré 	lé 	boun 	Dî 	é 	countré 	vou			.
36-limo-1246	18	. 			Me 	vau 							lévas																		, 				m’	en 	irai 			chas 	moun 	paï 			et 			li 	dirai 			: 		"paï
            "			ai 	pécha 	contré 	leu 		ceu 	et 	dovant 	vous			.
37-limo-1246	18	. 		Au 		faut 		qué 								dâ 	queu 	pas 																yau 			ané 		troubâs 		moun 	paï 			et 	"qué
            "	yau 	ly 	digeô			. 	Moun 	paï	, 	yau 	ai 	péchâ 	countré 	lou 		ciaü 	et 	countré 	vous			.
38-auve-1239	18	. 				Fau 		qu’	ïau 	me 			leve																		, 		qu’	ïau 	m	ein 	agne 			ve 	mon 	payre 			"et
            "	qu’	ïau 	l’y	guidze 			: 	Mon 	payre	, 	ïau 	zey 	petso 	contre 	le 		tchau 	et 	dovant 	vous			.
39-lang-1309	18	. 	He be 																															iou 					tournerai 	xia 	mon 	païre 			et 			ly 	dirai 			: 	"Moun
            "	païre 		iou 	ait 	pecat 	contre 	le 		cieou 	et 	contro 	vous			.
40-lang-1309	18	. 				Col 		que 		me 			lébe 																				qu’				one 		trouba 		moun 	pèro 			et 	que		li 	digo 			":
            "	Mon 	pèro 			ai 	peccat 	countro 	lou 		cel 	et 	dobon 	bous			.
41-lang-1309	18	. 			Men 	can 																															ana 		trouba 		moun 	païre 			es 		ye 		dire			: 	Moun 	pero 			"è
            "	peccat 	countro 	lou 		cel 	e 	daban 	bous			.
42-limo-1246	18	. 								Me 			leouerey 																			e 					anguerey 			à 	mon 	pay 			é 			ly 	direy 			: 		Papay 			"ey
            "	pécat 	contre 	lou 		céou 	é 	deban 	bous			.
43-gasc-1240	18	. 						Qu’		ern 			lëouerey																		, 		qu’				anirey 			enta 	moun 	pay	, 		é 	qu’	"eou
            "		direy			: 		Pay	, 	qu’	ey 	peccat 	cost	oou 		ceou 	é	daounant 	bous			.
