1-stan-1290	25	. 							Cependant 				son 		fils 		aîné							, 	qui 	était 			dans 	les 	champs				,  						revint								; 	et	lorsqu’			il 			fut 		proche 	de 	la 	maison					, 			il 	entendit  			les 																concerts 							et 		le 	bruit 	de 		"ceux
            "	qui 		dansaient								.
2-auve-1239	25	. — 											L’				éina 									zèra 			dién 	lous 	tzons 				: 																quan 				s’				aprustzét 	de 	l’	oustahr									ousiguét 			la 																fanfara de la tzabreta						, 	é 		lou 	bru 	de  	la 				ddnsa								.
3-wall-1255	25	. 							Awet mais	, 			li 				pus vy 	des 		fils 						esteut 			à 		champs				’						r’vint								’	et 	kwan 			il 			est 	tôt 	près 	de 	l’	mohonne 								il 	ô 											chanté	 et							musique																								.
4-wall-1255	25	. 							Mais 				l’				vî 									esteut 			â 		champ 					et 	kwand qu’	i			r’vinve									et 	qu’			i 			"foût
            "	to 	près 	do 	l’	mahon					, 			il 	oa 			l’																mestrée 							et 		les 							danses								.
5-wall-1255	25	. 							Mais 				l’				pu vi 	des 		garçons 						esteuve 			aux 		tchamps 					et 	comme 	"i
            "			r’vineuve 									et 									approcheuve 	delle 		maugeonne 					, 			il 	étaind 									qu’	on 	tchantoit 	et 	qu’	on 	"fioit
            "		delle 		musique																								.
6-wall-1255	25	. 											L’				pus vieux 			walton 						étoa 			à 		camps 				; 	et 				ein 	r’venant																étant 	au 	proche 	de 	s’	mon					, 			il 	entend 			des 																guisterneux 							et 		des 							danses								.
7-camb-1242	25								Pindéen cha 								pus vius 			garchon				, 	k’il 	étau 			dins 	"chés
            "	kéens				, 			il 			a r’vénu 								",
            "	et 	kéan k’			i 			fu 	tout 	près 	d’	chel 	mason					, 			il 	intindit 			l’													son 	"d’ chés
            "		violons 							et 		l’	bruit 	d’		cheux 	ki 		déensottent								.
8-arto-1238	25	. 							Paindeant ch’	, 			lo sain 				pus viu 			fiu 						r’v’noüait 			d’	"chez
            "	kieamps				, 															et 							arrivéye 	au 	proche 	dés’		mazon 								il 	o éoüi 			zz’																obates 							et 	"pi
            "	l’	train-ye	d’	chez 				déanses								.
9-arto-1238	25	. 							Den l’même momment 				sén 				pu viu 			fu 					qui 	éto 			den 	chés 	"camps
            "										a r’venu								; 		quand qu’			il 			a été 	tout 	près 	dé 		mageon 								il 	a entendu 			et 																musique 							"et
            "									densé								.
10-arto-1238	25	. 							Quoique 				sin 		fieu 		ainé 								qui 	étouët 			dins 	chez 	camps				, 						a arvenu 									et 	lorsqu’			il 			étouët 		bétot 	ai 		malson 					, 			il 	intendit 			l’																musique 							et 		l’	"tapage
            "	d’		cheux 	qui 		dinsouëtent								.
11-wall-1255	25	. 							Pourtan 				l’				pé vi 	d’	sé 	s’afan					qui 	esto 			din 	l’	schan				, 						e réveneu 									e 	com 			y l’			esto 	tou 	pré 	d’	oui 	maujon 								y l’	hoiot 			le 																concer 							e 		l’	ramache 	"dé
            "		ceu 	qui 		dinsin								.
12-lorr-1242	25	. 							Pourtant 				son 		offan 	le 	pu vieu							, 	qu’	otteu 			dans 	"les
            "	champs				, 						ait revenin 	; 								et 	quand 			y 			feu 		delaye 		let 	mohon 								l’	oheu 			les 																violons 							et 		"le
            "	bru 	des 		spots 	que 		danseint								.
13-lorr-1242	25	. 							Pourtant 				so 				éné 								qu’	ato 			dreha 	les 	champs 										r’veuneu								",
            "	et 	quand 			i 			fut 		proche 	de 	lè 	mahon					, 			l’	oieu 			lo 													son 	des 		instrumens 							et 		lo 	bru 	de 		"ço
            "	queu 		dansinent								.
14-lorr-1242	25	. 							Da lo ta let	, 			so 		fei 	lo 	pu vie							, 	qu’	éta 			ha 		champs				",
            "						ervenet 									et 	ca 			i 			feut 	lo 	d’cote		lè 	majon					, 			l’	oït 			les 																violons 							et 		lo 	bru 	q’		dso 	q’       		dansint								.
15-lorr-1242	25	. 							Porlan 				so 	premei 	fé 										qu’	eret			vau 	le 	chan’				, 		cat 	el 			"révéné
            "									et 	qu’			el 					epprochié 		let 	mauhon 								et 	loé 			let 																misic 							et 		lo 	bri 	dé 	let 				danze								.
16-alem-1243	25	. 							Cependint 				lo 		fés 		ainai 									était 				es 	chaimps 				; 		tient 	"ai
            "			revint 									et 	qu’			ai l’					aippreuchai 	de 	lai 	maigeon 								ai 	louie 			lai 																musique 							et 		lo 	bru 	"de
            "	lai 				dainse								.
17-fran-1270	25	. 											Lo 				pu veye 	des 		boubes 						eta 			dans 	les 	champs 						quad	a l’			arriva 					à 	l’	ota 			qua 	qnemouci 	d’						appreucher 											al 	onlondit 			la 																musique 							et 		lo 	brut 	de 	"let
            "				danse								.
18-fran-1270	25	. 											Lo 				pu ville 									eta 			dans 	les 	champs				; 		quant 				o revigni								, 	"a
            "	qu’			al 					apprechi 		l’	outot					, 			al 	entendit 			la 																musique 							a 					la 				danse								.
20-fran-1270	25	. 							Poutian 				son 		gaichon 	lou 	pu véel 								qu’	etâ 			âs 		chams				,           						revenêt 									et 	quand 			è 			fu 		prouche 		lei 	mougeon					, 			èl 	entendi 				qu’	on 	sautoi	, 		qu’	"on
            "	chantoi																																.
21-fran-1270	25	. 							Et velà que				le 		fils 	le 	put vail							, 		aitot 			dans 	"les
            "	champs				, 						revenai								, 	et 	quan 			ai 			fut 		"au long 
"	de 	lai 	mason 								et 	feintendai 			"les
            "																vieulons 							et 		le 	bru 	de 		ceux 	que 		danseins								.
22-fran-1270	25	. 							Cependant 				son 		fis 		éné 								qu’	éta 			dans 	las 	champs				, 						revint									et 	lorqu’			y 			fut 		proueche 	de 	lai 	moêson					, 			l’	entendet 			la 																concerts 							et 		lou 	brut 	d’		"ceux
            "	que 		dansint								.
23-bour-1247	25	. 							Mas 				le 				pu vieux 	das 		flots 						etot 			en 		samps 					et 	coume 				o venot 									et 	qu’			o 	s’				aipresot 	de 	la 	maïon 								ol 	antandé 			las 																santeries 							et 										"las
            "	divartissements 	que	s’	y 	fieint		.
24-poit-1241	25	. 											L’				ènà 								qu’	erre 			pre 	louë 	chan 									an 	revanguet								, 		coum’			"eux
            "	s’				apprechave 	deux 		logi 		de 	son 	paire	, 			v’	antandi 			louë 																instruman 							et 					la 				dance								.
