1-stan-1290	14	.		Après	qu’il	eut										tout	dépensé					,	il	survint				une	grande	famine	"dans
            "	ce	pays	là	,	et	il				commença	à	tomber					en					nécessité																			
2-auve-1239	14	. —		Apréz	qu’	aguét								mandza		tout						,		se faguét senti				la		lamina	per	"tout
            "	païs	aquer	,	é	zer				couminquét	à	connusse						lou				bezon																			
3-wall-1255	14	.		Kwan	il	eut	tôt	but	et					magny		tôt						,		arrive				ine	"grande
            "	famenne	divins	l’	pays	ousse qu’il esteu		et		vola qui			k’mince	a	z’avu										faim																			
4-wall-1255	14	.	Et	kwand	qu’il	oût										tôt	duspandou			à fait				sorvinve				"onne
            "	foite	famine	d’vin	ci	pai	là	.	Et	i				kminça	à	s’trové					ol					misere																			
5-wall-1255	14	.	Et	après	qu’il	a ïeu										tôt	tappé						est	sorvinu				one	grande	famenne	dains	ç‘	païs	là		et	il a				commainci	"a
            "	s’trové					dains	l’				misère																			
6-wall-1255	14	.		Quand	il	a				ç’qu’il avoit à maulvaut 						tout	assillé					,	il	arrive				ein	terrible	"famene
            "	d'veins	é	païs	là		et	i				k’menche	à	senti						l’				misere																			
7-camb-1242	14	.	Et	apré		avoir										tout	depinsé					,	il	arriva				inné	"gréende
            "	faminne	dins	ch’	Pa-is	la		et	i				k’mincha	a	été					dins	inné	gréende			misère																			
8-arto-1238	14	.		Abord	qu’il	o eu	tout	bu	,				tout	mié	et	tout	"drêlé
              "					,	il o	v’nu	adonc			ainn’	cruüelle	famaine	dains	ch’	pahis	lo	,	et	"i
            "				c’mainchouait													d’avoir fon-ye d’pon-ye																		
9-arto-1238	14	.		Après	qu’i	eu								mié		tout						,	i n’	ia u				eune		digette	den	"che
            "	paï	là	,		y						manquo					de	tout																							
10-arto-1238	14	.		Quand	il l’	a eue										tou	dépinçai					,		arriva				une	grande	"famaine
            "	in	che	paays	là		et	il				commincha	a	quére					din	l'				misére																			
11-wall-1255	14	.		Apré		aboit										tou	guernouï					,	y l’	é veneu				in	grand	foin	"din
            "	s’	pay	la		et	yl’e				queminchy	à	lemé					din	un				digette																			
12-lorr-1242	14	.		Etpré	que lé	evu										tourtou	dépainaye					,	lè	airivaye				ainne	grande	"faimaine
            "	dans	ce	pays	let	,	et	lé				coumanci							dooit					béson																			
13-lorr-1242	14	.		Eprès		avoit										tortot	dépensé					,		"erriveu
            "				eune	grande	femine	dans	lo	peis	lè		e	i				commenceu	à	cheur					dans	lè				nécessité																			
14-lorr-1242	14	.		Epret	qu'	lo								mengi		tortot						,		érivet				le		fémine	da	lo	"péïs
            "	let	,	et	i				cmancé	è	chare					da	lo				besa																			
15-lorr-1242	14	.	Et	pré	que	l’ou										tortot	deparet						é let	rivé				enne	"grande
            "	famine	da	lo	peï	la		é	let				quemaré	et	setli						lo				besa																			
16-alem-1243	14	.		Aiprai	quet	l’ut										tôt	dissipai						et	survenie				enne	"grande
            "	faimine	en	si	pays	li		et	ait lai				quemençai	ai	senti						le				besoin																			
17-fran-1270	14	.		Quand	al	avu								mingie		to							a Y a	survenu				ne		famene	dans	"le
            "	payis	la		et	a				quemonça	de	sontir						lo				besoi																			
18-fran-1270	14	.		Apré	qu’al	ut								mingie		tôt						,	al y	arrivi				ène	gran	"Famène
            "	dans	lo	païs		,		a				quemence														lu meume à mencâ 																	
19-fran-1270	14	.		Quand	el	eut								mégie		tortot							ô	venu				eue	grande	"disette
            "	dans	lo	pays		,	et																				feut pris de let faim 																
20-fran-1270	14	.	Per	èprée	qu’èl	eu										to	dissipa					,		vequi				eine	"Grand'
            "	feimeinne	en	ç’	peiy	lei		èt	é				quemencèt	è															eivoi las dents longues															
21-fran-1270	14	.		Aipré	qu’	ai						feù				tout	daipensai					,		vint				une	grante	"Fameigue
            "	en	ce	paii	là		et	ai				commençai	ai y	aivot	bé									besoin																			
22-fran-1270	14	.		Aipre	Que l’	eut										tout	daipensie						lie	survint				ne	"grand
            "	faimine	en	ç’	pays			et	v				commencet	ai	chère					dans	lou				besoin																			
23-bour-1247	14	.	Et	aiprès	qu’ol	oeu										tout	dépancé					,	o	vené				eune	"grande
            "	faiméne	an	ce	pays	lel	,	et	lu				coumouencé																	D'aivoir couéte														
24-poit-1241	14	.		Quante	v’	agué								mangea														une	grande	famine	dain	l’	pay	antveirre oû y aguét	,	a	eux				commencé	à	santire					pre	la		première vé la		misère																			
25-limo-1246	14	.	Et	après		avei										tout	depunsa					,		"arrivé
            "				une	grande	famine	din	kiau	paï			et	où				commincé	à	toumba					din	la				nécessita																			
26-poit-1241	14	.		Après	qu’il	ayit								mangé		tôt						,	o	seurvenit				ine	"grand
            "	famine	dans	tchau	paye			et	i				coumincit	à	chère					en					nécessite																			
28-poit-1241	14	.		Après	qu’ou l’	aguit								mangé		tout						,	o	venit				une	"grande
            "	famine	dans	keû	pays			et	y				commencit	à	devenir					bien				pauvre																				
29-poit-1241	14	.		Après	ch’il	ogut										tout	dépensé					,	il	avingit				ine	grand	famine	dans	chios	pays	là	,	et	il						chésit					dans	une	si grande			nécessité																			
30-poit-1241	14	.		Après	qu’i l’	auguit								mangé		tou						,	y	veinguit				une	"grande
            "	famine	dans	quiou	pays			et	y					se	trouvit					dan	la				prauveté																			
31-limo-1246	14	.		Quan	il	aguit										tout	fricassé					,	y	arrivit				une	grand	"famine
            "	dan	ichou	payi			et																							la fagn ne tarsit pas de le oprinque													
32-limo-1246	14	.		Après	qu’au	aye										tout	deïpensa							Aüou survengiéuno					"grando
            "	famino	din	keou	païs			é	aüou				coumencé	à	senti						lo				dizèto																			
33-limo-1246	14	.		Apres	qu’	oôugue										toût	deypensa						qu’	àribe				uno	"grando
            "	famino	din	queou	païs	laï	,	et	oou				coumencé	à	manquais																													
34-lang-1309	14	.		Oprès	qu’	oguait										tout	despensa					,		survenguoit				uno	"grando
            "	fomino	dins	oquel	poïs		,	et	el				coumensoit	o	toumba					en					nécessitat																			
35-limo-1246	14	.		Quan	v’	agué								meingêt		tou						,	"quo y
            "	agué				uno	grande	famine	din	lé	pay	ainté v’airo			qui hu				coumeincét	a	"sainti
            "						l’				indigenço																			
36-limo-1246	14	.		Quand		aûguet										tout	choba					,	ko	vinguet				no	grando	"fomino
            "	dis	queû	poys			et	queû		drolé		coumencet	a	junas																													
37-limo-1246	14	.		Après	que au	agué										tout	dépensa					,	au	aribé				uno	"grando
            "	famino	dis	queu	pâyis			et	eü				coumencé	à	elré					dins	l’				indigenceo																			
38-auve-1239	14	.		Quant	z’	ague										tout	sabô							vingué					grandô	faminô	guien	que	pays	unô	,	et	ïau				coumeinqué	de	manqua																	de tou												
39-lang-1309	14	.		Quond		oguet										tout	ocovat						s’	élévet				une	grondo	famino	"dins
            "	oquel	poys			et	heil se				trouvet							din	lo				miséro																			
40-lang-1309	14	.		Oprès	qu’	ochèt										tout	ocobat					,		subenguèt				une	grando	"fomino
            "	dins	oquel	poï															de	tout												sé el fousquet talomen desperbesit											
41-lang-1309	14	.		Quan	b’	ajec										tout	acabat						y	ajec				une	grando	famina	"din
            "	lou	païs			e					coumancec																					à pati										
42-limo-1246	14	.	É	après	qu’	aougut										tout	fenit					,	y	bengut				une	grande	famine	den	aquet	peïs	é		et					commencét	à	manca																													
43-gasc-1240	14	.		Quand	n’	aougouc					pas mes arre 											,	üo	boutec					gran’	famino	en	acquêt	païs		,	é	Lou maynat que 				coumencec	à	senti						lou				besouy																			
44-lang-1309	14	.		Éaprex	qu’	ajec										tout	acabat					,		surbenguec				uno	grando	famino	dins	aquel	païs		,	é	el				coumenceq	de	manqua						del				necessari																			
45-lang-1309	14	.	Et	quant		aüec										tout	despensach					,		arrivée				io	forto	"famino
            "	en	aquech	pays		,	et	eich				coumensec	de	manca																				de nourrituro									
46-lang-1309	14	.		Aprèp	qu’	ajec										tout	dèspènsat							surbenguèc				uno	"grando
            "	famino	dins	aquèl	pays			et	èl				coumensèc	à	toumba					dins	la				nècèssitat																			
