1-stan-1290	30	. 	mais 	aussitôt 		que 				votre 	autre 	fils										, 		qui 		a 		mangé 			son  						bien 				"avec
            "	des 	femmes perdues 		, 									est revenu			, 				vous 			avez 					tué  	pour 	lui 					le 	veau 	gras							.
2-auve-1239	30	. — 	É 							voste 		fir 												que 		zo 		avala 	tout 		soun 						be 		én mestzontas coumpanios,		ambe 	lei 	dzanétas		, 	quan 								zes vengu			,  							zavés 			faït 		sanna 							"lou
            "	vedér 	gras 							!
3-wall-1255	30	.	Et 	kwan 						vosse 		fils 							r’vint						après 	avu 		bu et magny 	tôt 			"ço
            "	qu’	il 	aveut 									"et qui vz’ a fait dné l’pôce à haut 
"																	vos 		li 				fé 		touwé 							on 		crâ 	vai						.
4-wall-1255	30	.	Mais 	sitoi 		qu’				voss 		fils 					volà					, 		qu’		a 	stu 	duspande 			su 						"part
            "				avou 	des 	bancelles du mâle veie		, 									a stu ruvni			, 				vos 		lî 	ave 					toué 							l’		cras 	vâi						.
5-wall-1255	30	.	Mais 	après 		qui 			ç’tici 	vosse 		fils 												qui 		a 		mongui 	"tot
            "		s’						bain 				avou 	des 	soloppes 											rivint 	vos fois		, 												toué 							l’		crau 	via 	por 	li				.
7-camb-1242	30	.	Mais 	ossitôt 		k’				vos	n’aute 	fius 												kil 		a 		échillé 			vos 						"bin
            "				aveu 	des 	drouilles 		, 									est r’vénu 							vos 			avez 					tué 	pou 	li 					ch’	viau 	cras							.
8-arto-1238	30	.	Au 	jour d’aujourdhui 						vio 	vous 	fiu 							qui raccueurt ainsuite 					d’	"
            "	avoir 		mié 	tout 			chou 	qu’	il 	avouait 						aveu 	des 	carmènes 																		et 	o 	li 						"tuez
            "							nous 	vieau 	cras							.
9-arto-1238	30	.	Et 	quand 		qu’		un 				fiu 				comme 	esch’tila 							qui 		a 		mié 	tout 		"sén
            "						ben 				aveuc 	des 	gueuses 											est r’venu			, 				vos 			avez 			fé 		tué 	pour 	li 					éche 		cras 	viau						.
10-arto-1238	30	.	Mais 	oussitot 		que 				vous 	aute 	fieu 												qui 		a 		mingé 			sin 					"saint
            "	frusquin 				aveucque 	des 	droules		, 									est arvenu			, 				oz’			avez 					tuai 	pour 	ly 					l’	viau 	cras							.
11-wall-1255	30	.	Ma 	ossitôt 		que 				vost 	aut’	afan 												qu’		é 		guernouï 			s’						bin 				"avet
            "	dé 	famé perdeu 											est reveneu			, 				vou 			z’ot 					tié 	por 	lu 					in 	vai 	crau							.
12-lorr-1242	30	.	Mas 	aussetou 		que 				votte 	aute 	offan										, 		qu’		é 		mingi 			sou 						"bin
            "				aivo 	des 	foummes pédau		, 									ait révenain			, 				v’			éveu 					touaye 							le 	vé 	gras							.
13-lorr-1242	30	.	Tandis que 	dès 		que 				vote 	ote 	feu 												qu’		èu 		mengi 			vote 						"bin
            "				avou 	des 	fômes libertines 											a revenu			, 				vos 		ô 						toué 	por 	lu 					in 	vé 	gras							.
14-lorr-1242	30	.	Mès 	asstot 		q’				vote 	ate 	fei										, 		quet 				mengi 			so 						bie 				e vot 	"des
            "	femmes padieue		, 			"
            "						a ervenu			, 				vza 								touet 	po 	lu 					lo 	vé 	grais							.
15-lorr-1242	30	.	Ma 	aussiteu 		que 				vote 	ote 	fé 												que 				meigie 			so 						bé 				etvo 	"dé
            "	fam poedu 											at reveni			, 				vo 			z’eu					toi 	po 	li 					lo 	vey 	gra							.
16-alem-1243	30	.	Mais 	achitot 		que 				votre 	atre 	fés 												qu’		ai 		mingie 			son						bin 				aivo 	des 	fennes prejues  											reveni			, 				vos 			ai 					tuait 							lo 	veis 	gréci							.
17-fran-1270	30	.	Ma 	ascheteu 		que 				ventre 	atre 	feu 												qu’		ay 		mingie 			son 						"bain
            "				ave 	les 	salopes		, 									ah de retoie 					ci 		vos 			z’a					tua 	po 	lu 					lo 	vias 	gras							.
18-fran-1270	30	.	Ma 	apré 		que 				veute  		boube 				que 	voila 							que 			tôt 	dépenci 			"son
            "						bin 				avos 	des 	fannes débauchies		, 																veus 			a 			fa 		tua 	por 	lu 					lo 	vé 	gras							.
20-fran-1270	30	.	Et 	quand 				ein 				gaichon 				coument 	stu'-lei 							qu’		ei 		mingû 	to 		"son
            "						bin 				d’èven 	dâs 	feilles 											ô venu			, 				vos 			êtes 			fa 		tua 							loû 	vée 	grâ							.
