1-stan-1290	27	.					Le	serviteur			lui	répondit					:	c’		est	que	votre	frère					est revenu			";
            "	et		votre		père		a tué		le	veau				gras	,	parce qu’										il	le	revoit					en			santé										.
2-auve-1239	27	. —					Lou	doumestique			dy	respondeguét					:	Cou		zes		voste	fraïre					"Quéï vengu
            "			,			voste		paire		o fait sanna		lou	vedér				gras		per qui											lou	recebre																		.
3-wall-1255	27	.					Ci	cial			ly		dit				:					vosse	fré					est rivnou				et		vosse		père		a fait touwé		on	vai				crâ		parç’qu										la		r’trové									bin	poirtant								.
4-wall-1255	27	.					Ci	siervant		là	li		diha				:	C’		est		voss	frère	qu’				est ruvni			,	et		vos		pere		a toué		l'	vai				cras		po çou’										il		est r’arivé								sain			et sâve							.
5-wall-1255	27	.			Citici						li		dit				:					Vosse	frère					est r’vinu				et		vosse		père		a toué		l’	via				crau		pusqui										il	l’	a r'trové									bain	pouartant								.
6-wall-1255	27	.			Ç’ti la						li	répond					:	Ch’		est	que	vos	frée					est r’venu			";
            "			vos		pée		a tué		l'	viau				cras																																.
7-camb-1242	27	.					Ch’	varlet			li	répondi					:	Ch’		est	k’	vos	frère					estrvénu				et		vos		père		a tué		ch’	viau				cras		parche k’										il	le	rvau					in			séenté	bonne									.
8-arto-1238	27	.					Ch’	varlet			li	répondit					:	Chez				vous	frère	qu’				"est r’v’nu
            "				et		vous		père		o tué		ch’	vieau				cras	,	parch’qu’										il	l’	o r’vu					ain			seanté-ye	"boine
            "									.
9-arto-1238	27	.			Es		ch’	varlet					a dit				:	Ché				vo	frère	qui				est r’venu				et		vo		père		a fait tué		éche	viau				cras			véant qui												s’porto’								ben									.
10-arto-1238	27	.					Che	garchon			ly		dit				:	Chés			que	vous	frère					estarvenu				"et
            "		vous		père		à tuai		el	viau				cras		parche qu’										il	le	revoyoët					in			santai										.
11-wall-1255	27	.					L’	vaurlét			ly	é respondeu					:					Vost	frer					e r’veneu				et		"vost
            "		per		e tié		l’	vai				crau		passquy											le	rehoit					à			santé										.
12-lorr-1242	27	.					Le	valot			li	répondent					:	C'		ost	que	vote	frairre					"ost révenain
            "			,	et		vote		pairre		ait touoyet		le	vé				gras	,				et cause qui								le	reoit					"en
            "			santaye										.
13-lorr-1242	27	.					Lo	valat			li	repondeu					:	Ç’		a	que	vote	frere					a revenu			,	"et
            "		vote		pere		eu toué		in	vé				gras	,	parcequi											lo	revoit									bin	poutiant								.
