1-stan-1290	21	. 	et 		son 	fils 																												lui 	dit 															: 					mon 		père	, 								j’	ai 		péché 	contre 	le  		ciel 	"et
            "	contre 	vous 							; 			et 			je 	ne 	suis 		plus 		digne 						d’						être 	appelé  				votre 		fils		.																	
2-auve-1239	21	. — 			Lou 	fir 																												dy 	diguét 															: 							Païre	, 									éï 		petza 	contre 	lou  		ciahr 	é 	"devon
            "	vous							, 								sou 		pas 		digne 						d’						éstre 	appela 				voste 		fir		.																	
3-wall-1255	21	. 			Li 	fils 																												ly 	dit															: 							père 									j’	a 		petchy 	conte 	li 		cyr 	et 	"conte
            "	vos							, 						ji 	n’					mérite 	pus 					qui 		vos 	m’				loumesse 				vos 		fils		.																	
4-wall-1255	21	. 	Et 		l’	fils 																												li 	diha 															: 							Pere	, 								j’	a 		pegchi 	conte 	lu 		ci 	et 	"conte
            "	vos 							: 						ju 	n’	so 		nin 		digne 						d’						ess 	loumé 				vos 		fils		.																	
5-wall-1255	21	. 	Et 		l’	fils 																												li 	dit 															: 							Père	, 								dj’	a 		offaincé 		l’	bon 	diet 	et 	d’zos	vos 	ouïes 												dji 	n’					merite 	pus 			asteur 		d’						ess 	nommé 				vosse 		fils		.																	
6-wall-1255	21	. 	Adonc 		s’	fieu 																												li 	dit 															: 							Pée 									j’	ai 		péché 	conte 	le 		ciel 	"et
            "	conte 	ti							. 						Je 	n’					mérite 	pus 					qu’		on 	m’				nomme 				t’		fieu		.																	
7-camb-1242	21	. 	Et 		sin 	fiu 																												li 	di 			insin 												: 					Min 		père	, 								j’	ai 		péché 	conte 	"el
            "		ciel 	et 	conteur 	vous							. 						Je 	n’	sus 		pus 		dinne 						d’						ête 	huké 				vos 		fius		.																	
8-arto-1238	21	. 	Et 		sain 	fiu 																												li 	dit															: 					Main 		père	, 								j’	aye 		feauté 	vis-à-vis	del	bon 	diu 	ed’		vous 			ytout 							et 				n’	sus 		pus 		daine 						d’						ett					vous 		fiu		.																	
9-arto-1238	21	. 	Es 		che 	fiu 																												li 	dit 															: 					Men 		père 									j’	é 		manquié 	à 			Dieu 	et 	"à
            "	vous							, 						je 	n’	su 	mi 	pu 		digne 				acheteur 		d’						ête 					vos 		fiu		.																	
10-arto-1238	21	. 			Sin 	fieu 																												ly	dit															: 					Min 		père 									j’	ai 	grament 	péché 	"conte
            "	l’		ciel 	et 	conte 	vous 							; 			et 			jenne 		su 		pu 		dinne 						d’						éte 	apelai 				vous 		fieu		.																	
12-lorr-1242	21	. 	Et 		sou 	fé 																												li 	déheu 															: 							Papa	, 								j’	a 		maux fa 	conte 	le 		ciel 	"et
            "	conte 	vous 							; 			et 			je 	not 			pu 		daigne 						qu’		on 	me 				houieusse 				vole 		offan		.																	
13-lorr-1242	21	. 	Et 		so 	feu 																												li 	deheu 															: 					Mo 		pere 									j’	a 		peuchi	conte 	lo 		"ciel
            "	et 	conte 	vo							, 			et 			jeu 	ne 	seum 		pu 		digne 						d’						ete 	hoï 				vote 		feu		.																	
14-lorr-1242	21	. 	E 		so 	fei 																												li 	djet 															: 					Mo 		père	, 								jai 			pachi 	conte 	lo 		cie 	"et
            "	conte 	vo							, 			et 			jeu 	n’	eume 		pu 		digne 						que 							vmépellins 				vot 		fei		.																	
15-lorr-1242	21	. 	Et 		so 	fé 																												li 	di 															: 					Mo 		père 									j’	a 		pechié 	ecate 	lo 		cie 	"et
            "	ecate 	vo 										et 			je 	ne 	sei 	mi 			digne 				mettenan 		d’						êté 	hechie 				vot 		fé		.																	
16-alem-1243	21	. 	Et 		son 	fés 																												ié 	dié 															: 					Mon 		père 									y 	ail 		péché 	contre 	le 		"cie
            "	et 	contre 	vos							, 						y 	ne 	seut 		pu 		digne 				desourmais 		d’						être 	aipplai 				vot’		fés		.																	
17-fran-1270	21	. 	E 		son 	boube 																												ly 	édit															: 					Mon 		paire 									y 	a 		péché 	contrelo 			scie 	et 	contre 	vo 													y 	ne 	sent 		pez 		digne 						d’						etre 	appella 			majeu 	"vente
            "		boube		.																	
18-fran-1270	21	. 			Son 	boube 																												li 	diji 															: 							Père	, 								y 	a 		pechè 	contre 	lo 		ciè 	et 	"à
            "	veus 	uils						; 						y 	ne 	sus 		pé 		digne 						d’						être 	appella 				veut 		affan		.																	
19-fran-1270	21	. 	Po lors 		so 	guechon 																												l’y 	dejeut 															: 					Mo 		papa	, 								j’	a 		offensa 		"lo
            "		elle 										; 						i 	ne 					mérité 						d’						être 	eppella 				vot 		effant		.																	
20-fran-1270	21	. 			Son 	gaichon 																												li 	dizèt 															: 							Pare 									i 	a 		peichié 	contr’	lou 		"cie
            "	et 	vé 	vô							, 						i 	n’	seu 		pas 		deigne 				estheure 		d’						être 	èpelâ 				vout’		gaichon		.																	
21-fran-1270	21	. 	Et 		son 	fils 																												l’y 	disai 															: 					Mon 		pere 									j’	ei 		péché 	conte 	"le
            "		ciel 	et 	conte 	vous							, 			et 			y 	ne 	seu 		pu 		daigne 						d’						etre 	aippellai 				vote 		gasson		.																	
22-fran-1270	21	. 	Et 		son 	fis 																												lie 	diset 															: 							Père	, 								y 	a 		peichié 	contre 	lou 		cie	et 	contre 	vous 										et 			y 	ne 	seu 		pas 		deigne 						d’						être 	"aippela
            "				vouele 		fis		.																	
23-bour-1247	21	. 	Et 		son 	flot 																												ly 	dié 															: 					Mon 		père	, 								y 	ait 		pécé 	conte 	le		ciel 	et 	"conte
            "	vous 			aitout				, 						y 	ne 					mairite 	pû 					d’						eitre 	aipelé 				voute 		fiot		.																	
24-poit-1241	21	. 			L’	afan 																												ly 	dissé															: 					Mon 		paire	, 								y 	ais 		p’cha	envre 	le 		ciel 	"é
            "	envre 	vous 							; 						y 	ne 					m’rite	pus 					d’						étr’	app’la				votr’		afan		.																	
