1-stan-1290	20	. 				Il 		se 				leva 			donc 		et 								vint 	trouver 			son 	père 	; 															et 	lorsqu’	il  		"était
            "		encore 			bien 	loin					, 						son 	père 					l’			aperçut 										et 											en 	fut 				"touché 
            
             "		de 	compassion										; 	et	, 										courant 		à 				lui			, 			il 	se 		jeta 	à 		son 	cou 		et  																		le 	baisa 				;
2-auve-1239	20	. — 						Se 				levét				, 			s’		en				anét 		ver 		soun 	paire	. 																			Zèra 		énquèra  				Ion					, 						"soun
            "	païre 					lou 			veguét									, 	et 												fougué 				toutza 		de 	compassioue										, 					se boutét 						à 	courre									, 				"se
            "		djettét 	à 		soun 	couér	, 	é 													dy  	faguét 	de 	poutous							.
3-wall-1255	20	. 				I 		s’				iyve				, 		i 					va 		adlé 				s’	père	. 																	Il 		esteut 		co 			bin 	long 						"qui
            "					ci 				cial 	é 	l’			veut									. 									Il 				sint 	s’	cour 		tréfilé													, 			i 									court 		à 				lu			, 			ly 			satelle 	â 			golé 		"et
              "																		l’	bâhe				.
4-wall-1255	20	. 				Inn’						alla 			don	, 	et 	i 							revinve 		amon 		s’	pere	. 															Mais 	"kwand qu’
            "	i 		foût 					assez 	prêt 		do 	l’	mâhon	, 						su 	pere 					lu 			véa									, 	et 								il 		li 	es 	fit 			si 	mâ																																		, 	qu’		i	li 		sôta 	à 			cô 		et su 																		l’	bâha				.
5-wall-1255	20	. 				I 						paurte 					et 								va 	trové 			s’	pére 	; 															mais 	comme 	il 		estoit 		"co
            "			bain 	long					, 						s’	pére 					li 			woit 										et 								il 				est 				toûchi 		d’	compassion 											et 											courant 		au-		d’vant	d’	ii						il 	li 		sautelle 	au 			coo 		et 																		l’	bauge				.
6-wall-1255	20	. 		Par’ après		i 		s’				estampe 					et 	i 	s’		en 				rva 		delez 		s’	pée	".
            "																	Id’		étoa 		co 			bié 	long 						que 					s’	pée 					l’	avoa 	d’jà	ravisé									. 									Id’				a 							pitié										, 			i 									court 					"à
            "		s’	raward 	, 			i 	s’		rue 	à 		s’n’	hatriau 		et 	i 	l’	embrasse																				.
7-camb-1242	20	. 				I 				a 	donc 	levé 					et 		s’	a	in				allé 	trouver 			sin 	père	. 																"Kéen k’
            "	il 		étau 		encore 			bin 	long 											sin 	père 					l’			apperchut 										et 								s’zintrailles	 			fur’t				"émues
            "		d’	pité										. 	Et 										in 	coréant 		à 				li 						i 	se 		rua	à 		sin 	co	, 	et 	il 	l’																	bagea				,
8-arto-1238	20	. 				I 		s’		o 	donc 	élève 					et 		s’		o 		o		ainv’nu	truvoir 			sain 	père 	";
            "											sain 	père 	l’	pèrchut 		qu’	il 		étouait 		coire 				loüon																													, 																															et 											querant 	rade 	a 				li			, 			il 	l’		o etrain-ye	a 		sain 	co 		et 		l’																	o bagéye				.
9-arto-1238	20	. 				I 		s’		a 		élevé				,							a 		v’nu		à 		sén 	père	; 																	il 		éto 		ocore 			ben 	"ion
            "						quand 					sén 	père 					l’	a 		aperchu									, 									il 				a u 							compassion 		ed 	li																												, 			il 	l’		a pris 	dén 		ses 	"bras
            "		et 		l’																	a bagié				.
10-arto-1238	20	. 				Issel’						va 			don 		et 		s’		in n’				alla 	trouvouoër 			sin 	père	, 															"et
            "	lorsqu’	il 		éteuoit 		incor 			bin 	louin 					, 						sin 	père 					l’			aperchut 										etin 												fut 			tou 	rimpli 		"de
            "	compacion 											et 											queurant 		à 				ly 						i 	se 		jta 	à 		sin 	cou 		et 		l’																	baja				.
11-wall-1255	20	. 				Y 		s’		é 	don 	l’vé					et 	y 					lé 		veneu 	trouvé 			s’	per	, 															e 	"com
            "	il’		esto 		co 			bin 	lon					, 						s’	per 					lé 			veyo 										e 								y 		l’		esto 				touchi 		d’	piti 										; 	e 											courait 		à 				lù			, 			"y
            "	s’		é tappé 	à 		s’	co 		e 		lés 																	baugi				.
